Id,Label,timeset,modularity_class
1,1,,201
1589,1589,,201
3,3,,0
2,2,,0
4,4,,0
5,5,,0
6,6,,0
8,8,,1
7,7,,1
9,9,,1
10,10,,1
11,11,,1
13,13,,2
12,12,,2
14,14,,2
15,15,,2
17,17,,3
16,16,,3
18,18,,3
21,21,,4
20,20,,4
22,22,,4
24,24,,36
23,23,,36
25,25,,36
28,28,,5
27,27,,5
29,29,,5
31,31,,6
30,30,,6
32,32,,6
33,33,,6
34,34,,6
36,36,,7
35,35,,7
37,37,,7
38,38,,7
39,39,,7
40,40,,7
43,43,,8
42,42,,8
45,45,,34
44,44,,34
46,46,,34
48,48,,128
47,47,,128
49,49,,128
50,50,,128
51,51,,6
52,52,,6
53,53,,6
54,54,,6
55,55,,18
56,56,,18
57,57,,6
58,58,,6
60,60,,9
59,59,,9
61,61,,9
63,63,,275
62,62,,275
64,64,,275
65,65,,275
67,67,,10
66,66,,10
68,68,,10
70,70,,11
69,69,,11
71,71,,11
72,72,,11
74,74,,92
73,73,,92
75,75,,92
76,76,,92
78,78,,139
77,77,,139
79,79,,139
80,80,,139
82,82,,101
81,81,,101
83,83,,101
85,85,,12
84,84,,12
86,86,,12
88,88,,181
87,87,,181
90,90,,18
92,92,,13
91,91,,13
93,93,,13
95,95,,11
94,94,,11
96,96,,11
97,97,,11
98,98,,11
99,99,,11
100,100,,11
103,103,,14
102,102,,14
104,104,,14
106,106,,15
105,105,,15
107,107,,15
109,109,,16
108,108,,16
112,112,,17
111,111,,17
114,114,,18
113,113,,18
117,117,,174
116,116,,174
119,119,,19
118,118,,19
121,121,,139
120,120,,139
123,123,,20
122,122,,20
124,124,,20
127,127,,24
126,126,,24
128,128,,24
130,130,,21
129,129,,21
131,131,,6
132,132,,6
133,133,,6
134,134,,6
136,136,,128
135,135,,128
138,138,,22
137,137,,22
140,140,,23
139,139,,23
141,141,,23
142,142,,23
143,143,,23
144,144,,23
145,145,,23
146,146,,23
147,147,,23
148,148,,23
149,149,,24
150,150,,24
151,151,,24
152,152,,24
154,154,,25
153,153,,25
155,155,,25
156,156,,25
157,157,,11
158,158,,11
161,161,,26
160,160,,26
163,163,,54
162,162,,54
165,165,,27
164,164,,27
167,167,,28
166,166,,28
170,170,,29
169,169,,29
171,171,,29
173,173,,30
172,172,,30
174,174,,30
176,176,,31
175,175,,31
177,177,,31
180,180,,32
179,179,,32
181,181,,32
183,183,,33
182,182,,33
184,184,,18
185,185,,18
186,186,,18
188,188,,122
187,187,,122
189,189,,122
190,190,,6
191,191,,34
192,192,,34
193,193,,34
194,194,,34
196,196,,35
195,195,,35
197,197,,35
198,198,,35
199,199,,35
201,201,,36
200,200,,36
202,202,,36
203,203,,54
206,206,,37
205,205,,37
208,208,,38
207,207,,38
209,209,,38
211,211,,39
210,210,,39
212,212,,39
214,214,,40
213,213,,40
215,215,,40
216,216,,128
217,217,,128
218,218,,128
219,219,,128
220,220,,128
221,221,,128
222,222,,128
223,223,,128
224,224,,128
225,225,,24
227,227,,199
226,226,,199
229,229,,41
228,228,,41
230,230,,41
231,231,,41
234,234,,11
233,233,,11
235,235,,11
238,238,,42
237,237,,42
240,240,,43
239,239,,43
241,241,,43
243,243,,172
242,242,,172
245,245,,71
244,244,,71
246,246,,71
247,247,,71
249,249,,44
248,248,,44
250,250,,44
251,251,,128
252,252,,128
255,255,,169
254,254,,169
256,256,,169
259,259,,215
258,258,,215
261,261,,45
260,260,,45
263,263,,51
262,262,,51
264,264,,51
265,265,,51
266,266,,51
267,267,,51
268,268,,51
269,269,,51
271,271,,46
270,270,,46
274,274,,111
273,273,,111
275,275,,111
277,277,,57
276,276,,57
278,278,,57
280,280,,47
279,279,,47
281,281,,47
282,282,,47
283,283,,47
284,284,,47
285,285,,47
287,287,,48
286,286,,48
288,288,,48
289,289,,48
291,291,,49
290,290,,49
292,292,,49
294,294,,246
293,293,,246
297,297,,50
296,296,,50
298,298,,50
299,299,,50
300,300,,50
301,301,,54
302,302,,54
303,303,,54
304,304,,54
305,305,,51
306,306,,51
307,307,,51
308,308,,51
309,309,,139
310,310,,11
312,312,,52
311,311,,52
314,314,,53
313,313,,53
315,315,,53
316,316,,54
317,317,,54
319,319,,55
318,318,,55
321,321,,56
320,320,,56
322,322,,56
323,323,,56
324,324,,56
325,325,,56
327,327,,57
326,326,,57
328,328,,57
329,329,,57
330,330,,24
331,331,,24
333,333,,58
332,332,,58
334,334,,58
335,335,,58
337,337,,118
336,336,,118
339,339,,59
338,338,,59
340,340,,59
341,341,,59
343,343,,128
342,342,,128
344,344,,128
345,345,,128
346,346,,128
347,347,,128
349,349,,60
348,348,,60
350,350,,60
351,351,,60
352,352,,60
353,353,,60
355,355,,61
354,354,,61
356,356,,61
358,358,,62
357,357,,62
359,359,,62
360,360,,62
361,361,,62
362,362,,275
363,363,,275
364,364,,275
365,365,,275
367,367,,63
366,366,,63
368,368,,63
369,369,,36
370,370,,139
371,371,,139
373,373,,64
372,372,,64
374,374,,64
375,375,,6
376,376,,6
377,377,,6
378,378,,6
380,380,,65
379,379,,65
381,381,,65
383,383,,66
382,382,,66
384,384,,66
386,386,,67
385,385,,67
387,387,,67
388,388,,67
389,389,,67
390,390,,67
391,391,,67
392,392,,67
394,394,,68
393,393,,68
395,395,,68
396,396,,68
398,398,,69
397,397,,69
399,399,,69
400,400,,69
401,401,,57
402,402,,57
403,403,,57
404,404,,57
405,405,,57
406,406,,28
409,409,,70
408,408,,70
410,410,,70
411,411,,70
412,412,,70
413,413,,70
415,415,,71
414,414,,71
416,416,,57
417,417,,57
419,419,,72
418,418,,72
421,421,,55
423,423,,73
422,422,,73
424,424,,73
426,426,,74
425,425,,74
427,427,,74
428,428,,34
429,429,,34
431,431,,75
430,430,,75
432,432,,75
434,434,,76
433,433,,76
435,435,,71
437,437,,77
436,436,,77
438,438,,77
439,439,,19
440,440,,19
441,441,,19
443,443,,11
442,442,,11
445,445,,78
444,444,,78
447,447,,79
446,446,,79
448,448,,79
449,449,,79
450,450,,47
453,453,,80
452,452,,80
454,454,,80
455,455,,80
456,456,,80
457,457,,80
458,458,,80
459,459,,80
461,461,,54
460,460,,54
462,462,,54
463,463,,54
464,464,,6
465,465,,6
466,466,,6
468,468,,81
467,467,,81
469,469,,81
470,470,,81
471,471,,81
473,473,,184
472,472,,184
474,474,,184
476,476,,82
475,475,,82
477,477,,82
478,478,,82
480,480,,83
479,479,,83
481,481,,83
482,482,,83
484,484,,84
483,483,,84
485,485,,6
487,487,,85
486,486,,85
488,488,,6
489,489,,6
490,490,,139
491,491,,139
492,492,,139
493,493,,139
495,495,,86
494,494,,86
496,496,,86
498,498,,87
497,497,,87
499,499,,54
500,500,,24
501,501,,24
502,502,,24
503,503,,24
506,506,,88
505,505,,88
507,507,,6
508,508,,6
509,509,,6
512,512,,89
511,511,,89
513,513,,71
515,515,,24
514,514,,24
516,516,,24
517,517,,24
519,519,,90
518,518,,90
521,521,,91
520,520,,91
522,522,,92
523,523,,92
524,524,,92
525,525,,92
526,526,,92
527,527,,92
529,529,,93
528,528,,93
531,531,,94
530,530,,94
532,532,,94
533,533,,94
535,535,,95
534,534,,95
538,538,,96
537,537,,96
539,539,,96
540,540,,96
541,541,,96
542,542,,96
545,545,,97
544,544,,97
547,547,,57
546,546,,57
548,548,,139
549,549,,139
550,550,,139
553,553,,98
552,552,,98
554,554,,98
557,557,,99
556,556,,99
558,558,,99
560,560,,100
559,559,,100
561,561,,6
562,562,,6
563,563,,101
564,564,,101
565,565,,101
566,566,,101
567,567,,122
569,569,,102
568,568,,102
571,571,,103
570,570,,103
573,573,,104
572,572,,104
574,574,,47
575,575,,47
576,576,,47
578,578,,105
577,577,,105
581,581,,106
580,580,,106
582,582,,106
584,584,,107
583,583,,107
585,585,,128
586,586,,128
587,587,,128
590,590,,51
589,589,,51
591,591,,51
592,592,,51
594,594,,108
593,593,,108
595,595,,57
596,596,,57
598,598,,143
597,597,,143
600,600,,109
599,599,,109
603,603,,110
602,602,,110
606,606,,111
607,607,,111
608,608,,111
609,609,,34
610,610,,34
611,611,,34
612,612,,34
615,615,,112
614,614,,112
617,617,,113
616,616,,113
619,619,,114
618,618,,114
620,620,,114
622,622,,115
621,621,,115
624,624,,116
623,623,,116
626,626,,117
625,625,,117
627,627,,117
628,628,,117
630,630,,118
629,629,,118
631,631,,118
633,633,,119
632,632,,119
636,636,,120
635,635,,120
637,637,,120
638,638,,54
639,639,,54
640,640,,54
641,641,,139
643,643,,130
642,642,,130
646,646,,139
648,648,,121
647,647,,121
650,650,,122
651,651,,122
652,652,,18
653,653,,18
654,654,,18
655,655,,18
656,656,,18
657,657,,18
659,659,,123
658,658,,123
660,660,,123
661,661,,123
663,663,,144
662,662,,144
664,664,,144
665,665,,144
666,666,,144
668,668,,124
667,667,,124
670,670,,131
669,669,,131
671,671,,131
673,673,,125
672,672,,125
674,674,,24
675,675,,11
676,676,,11
677,677,,144
679,679,,126
678,678,,126
680,680,,126
682,682,,127
681,681,,127
683,683,,127
684,684,,127
685,685,,6
686,686,,60
689,689,,96
690,690,,96
692,692,,128
694,694,,128
693,693,,128
695,695,,128
696,696,,128
697,697,,128
698,698,,128
699,699,,78
700,700,,11
701,701,,11
702,702,,11
705,705,,129
704,704,,129
706,706,,129
707,707,,129
708,708,,11
709,709,,11
710,710,,11
711,711,,181
712,712,,130
713,713,,130
715,715,,128
716,716,,128
717,717,,128
718,718,,128
720,720,,137
719,719,,137
721,721,,131
724,724,,132
723,723,,132
725,725,,132
726,726,,132
729,729,,128
731,731,,133
730,730,,133
733,733,,134
732,732,,134
734,734,,134
736,736,,11
737,737,,11
738,738,,11
739,739,,11
742,742,,246
743,743,,246
744,744,,246
745,745,,246
746,746,,246
748,748,,135
747,747,,135
751,751,,136
750,750,,136
752,752,,137
753,753,,137
755,755,,138
754,754,,138
756,756,,139
757,757,,11
758,758,,11
759,759,,139
760,760,,139
761,761,,139
762,762,,139
763,763,,139
764,764,,139
765,765,,139
767,767,,140
766,766,,140
768,768,,140
769,769,,140
770,770,,24
771,771,,24
772,772,,24
773,773,,24
774,774,,18
775,775,,139
776,776,,139
778,778,,141
777,777,,141
780,780,,86
781,781,,86
783,783,,118
784,784,,118
786,786,,142
785,785,,142
787,787,,142
788,788,,128
789,789,,143
790,790,,143
792,792,,144
793,793,,144
794,794,,144
795,795,,275
796,796,,275
797,797,,275
798,798,,275
800,800,,145
799,799,,145
801,801,,145
802,802,,145
803,803,,145
804,804,,145
805,805,,275
806,806,,275
807,807,,275
808,808,,275
810,810,,146
809,809,,146
813,813,,147
812,812,,147
815,815,,148
814,814,,148
816,816,,148
818,818,,149
817,817,,149
820,820,,150
819,819,,150
822,822,,151
821,821,,151
823,823,,151
824,824,,151
826,826,,152
825,825,,152
827,827,,152
828,828,,152
829,829,,152
830,830,,152
831,831,,152
832,832,,152
833,833,,152
834,834,,152
836,836,,153
835,835,,153
837,837,,153
839,839,,6
840,840,,6
842,842,,154
841,841,,154
843,843,,154
845,845,,155
844,844,,155
846,846,,155
847,847,,155
849,849,,156
848,848,,156
851,851,,157
850,850,,157
852,852,,157
853,853,,139
856,856,,158
855,855,,158
857,857,,158
859,859,,15
860,860,,246
861,861,,246
862,862,,246
863,863,,18
864,864,,18
865,865,,18
866,866,,139
867,867,,139
871,871,,159
870,870,,159
872,872,,159
873,873,,159
874,874,,159
878,878,,160
877,877,,160
879,879,,160
880,880,,160
881,881,,160
884,884,,161
883,883,,161
885,885,,161
887,887,,162
886,886,,162
889,889,,163
888,888,,163
890,890,,163
892,892,,139
893,893,,18
894,894,,57
896,896,,164
895,895,,164
897,897,,164
898,898,,164
899,899,,164
901,901,,165
900,900,,165
902,902,,165
904,904,,166
903,903,,166
905,905,,166
907,907,,167
906,906,,167
908,908,,51
910,910,,168
909,909,,168
911,911,,168
913,913,,169
912,912,,169
914,914,,169
915,915,,169
916,916,,169
917,917,,169
918,918,,29
921,921,,170
920,920,,170
922,922,,71
924,924,,171
923,923,,171
925,925,,171
926,926,,31
927,927,,172
930,930,,173
929,929,,173
931,931,,246
932,932,,246
933,933,,246
934,934,,18
935,935,,174
936,936,,174
937,937,,174
938,938,,174
940,940,,82
942,942,,175
941,941,,175
943,943,,175
944,944,,51
945,945,,51
946,946,,201
948,948,,233
947,947,,233
950,950,,176
949,949,,176
952,952,,177
951,951,,177
953,953,,177
954,954,,177
955,955,,34
956,956,,34
958,958,,178
957,957,,178
959,959,,178
961,961,,179
960,960,,179
962,962,,179
963,963,,24
964,964,,24
966,966,,180
965,965,,180
967,967,,180
968,968,,180
969,969,,180
970,970,,180
973,973,,50
972,972,,50
975,975,,181
974,974,,181
976,976,,181
977,977,,11
979,979,,182
978,978,,182
981,981,,183
980,980,,183
982,982,,183
984,984,,184
983,983,,184
985,985,,184
986,986,,184
988,988,,185
987,987,,185
989,989,,50
991,991,,181
993,993,,186
992,992,,186
995,995,,187
994,994,,187
996,996,,187
997,997,,187
998,998,,187
1000,1000,,169
999,999,,169
1002,1002,,50
1003,1003,,50
1004,1004,,50
1005,1005,,139
1007,1007,,188
1006,1006,,188
1008,1008,,6
1010,1010,,189
1009,1009,,189
1012,1012,,190
1011,1011,,190
1014,1014,,191
1013,1013,,191
1016,1016,,275
1018,1018,,235
1017,1017,,235
1021,1021,,24
1022,1022,,24
1023,1023,,24
1024,1024,,6
1025,1025,,6
1026,1026,,54
1027,1027,,54
1028,1028,,246
1029,1029,,246
1030,1030,,139
1032,1032,,192
1031,1031,,192
1034,1034,,193
1033,1033,,193
1036,1036,,194
1035,1035,,194
1037,1037,,194
1038,1038,,194
1039,1039,,51
1040,1040,,51
1041,1041,,128
1043,1043,,195
1042,1042,,195
1044,1044,,195
1045,1045,,189
1046,1046,,83
1047,1047,,2
1048,1048,,2
1049,1049,,2
1050,1050,,2
1053,1053,,196
1052,1052,,196
1055,1055,,197
1054,1054,,197
1056,1056,,197
1057,1057,,197
1058,1058,,197
1061,1061,,198
1060,1060,,198
1062,1062,,198
1063,1063,,198
1064,1064,,198
1065,1065,,198
1066,1066,,198
1067,1067,,198
1068,1068,,198
1069,1069,,198
1070,1070,,275
1071,1071,,275
1072,1072,,275
1073,1073,,275
1074,1074,,199
1079,1079,,200
1078,1078,,200
1081,1081,,47
1082,1082,,11
1083,1083,,11
1084,1084,,201
1086,1086,,24
1087,1087,,24
1088,1088,,24
1089,1089,,24
1091,1091,,184
1092,1092,,184
1094,1094,,202
1093,1093,,202
1095,1095,,202
1096,1096,,202
1098,1098,,203
1097,1097,,203
1099,1099,,203
1102,1102,,204
1101,1101,,204
1103,1103,,204
1106,1106,,205
1105,1105,,205
1107,1107,,205
1108,1108,,205
1109,1109,,205
1110,1110,,205
1111,1111,,205
1112,1112,,205
1113,1113,,205
1115,1115,,206
1114,1114,,206
1117,1117,,267
1116,1116,,267
1118,1118,,267
1119,1119,,267
1120,1120,,267
1121,1121,,139
1122,1122,,139
1123,1123,,139
1124,1124,,71
1125,1125,,71
1128,1128,,207
1127,1127,,207
1129,1129,,181
1130,1130,,18
1132,1132,,208
1131,1131,,208
1134,1134,,209
1133,1133,,209
1135,1135,,34
1136,1136,,34
1137,1137,,34
1138,1138,,34
1140,1140,,210
1139,1139,,210
1142,1142,,211
1141,1141,,211
1145,1145,,128
1147,1147,,212
1146,1146,,212
1148,1148,,212
1149,1149,,212
1150,1150,,212
1153,1153,,213
1152,1152,,213
1154,1154,,213
1155,1155,,213
1156,1156,,213
1157,1157,,213
1158,1158,,213
1159,1159,,213
1160,1160,,213
1162,1162,,18
1163,1163,,18
1165,1165,,214
1164,1164,,214
1166,1166,,215
1167,1167,,215
1169,1169,,216
1168,1168,,216
1170,1170,,150
1172,1172,,139
1175,1175,,246
1176,1176,,246
1177,1177,,24
1178,1178,,24
1180,1180,,51
1181,1181,,51
1182,1182,,54
1185,1185,,217
1184,1184,,217
1186,1186,,217
1189,1189,,57
1190,1190,,6
1191,1191,,6
1194,1194,,218
1193,1193,,218
1195,1195,,139
1196,1196,,139
1197,1197,,139
1199,1199,,219
1198,1198,,219
1200,1200,,219
1201,1201,,169
1202,1202,,169
1203,1203,,169
1204,1204,,169
1205,1205,,169
1206,1206,,169
1207,1207,,169
1208,1208,,169
1210,1210,,220
1209,1209,,220
1211,1211,,220
1212,1212,,220
1214,1214,,24
1215,1215,,24
1216,1216,,24
1217,1217,,24
1219,1219,,221
1218,1218,,221
1221,1221,,24
1223,1223,,222
1222,1222,,222
1224,1224,,222
1226,1226,,223
1225,1225,,223
1227,1227,,223
1228,1228,,6
1229,1229,,6
1230,1230,,71
1232,1232,,224
1231,1231,,224
1233,1233,,71
1234,1234,,71
1235,1235,,83
1236,1236,,83
1238,1238,,225
1237,1237,,225
1239,1239,,57
1241,1241,,226
1240,1240,,226
1243,1243,,227
1242,1242,,227
1244,1244,,83
1245,1245,,83
1246,1246,,83
1247,1247,,83
1249,1249,,228
1248,1248,,228
1250,1250,,83
1251,1251,,83
1253,1253,,229
1252,1252,,229
1254,1254,,229
1255,1255,,139
1256,1256,,169
1257,1257,,169
1259,1259,,230
1258,1258,,230
1261,1261,,231
1260,1260,,231
1262,1262,,231
1263,1263,,6
1265,1265,,232
1264,1264,,232
1266,1266,,232
1267,1267,,232
1268,1268,,159
1270,1270,,56
1271,1271,,233
1272,1272,,233
1273,1273,,154
1274,1274,,154
1275,1275,,154
1276,1276,,154
1278,1278,,246
1279,1279,,246
1280,1280,,246
1281,1281,,246
1282,1282,,128
1283,1283,,128
1287,1287,,245
1286,1286,,245
1288,1288,,245
1289,1289,,245
1290,1290,,245
1293,1293,,250
1292,1292,,250
1294,1294,,250
1295,1295,,6
1299,1299,,234
1298,1298,,234
1303,1303,,235
1304,1304,,235
1305,1305,,235
1306,1306,,235
1307,1307,,235
1308,1308,,235
1309,1309,,235
1311,1311,,236
1310,1310,,236
1313,1313,,6
1312,1312,,6
1314,1314,,6
1315,1315,,6
1316,1316,,6
1318,1318,,165
1321,1321,,237
1320,1320,,237
1322,1322,,92
1324,1324,,238
1323,1323,,238
1325,1325,,238
1327,1327,,239
1326,1326,,239
1329,1329,,240
1328,1328,,240
1332,1332,,241
1331,1331,,241
1333,1333,,241
1336,1336,,242
1335,1335,,242
1337,1337,,242
1338,1338,,242
1339,1339,,243
882,882,,243
1341,1341,,24
1342,1342,,24
1343,1343,,47
1344,1344,,47
1345,1345,,223
1346,1346,,131
1347,1347,,6
1348,1348,,6
1349,1349,,275
1350,1350,,275
1351,1351,,275
1352,1352,,275
1355,1355,,244
1354,1354,,244
1356,1356,,205
1357,1357,,205
1358,1358,,205
1359,1359,,205
1361,1361,,34
1362,1362,,34
1363,1363,,34
1364,1364,,245
1365,1365,,245
1366,1366,,245
1367,1367,,245
1368,1368,,246
1369,1369,,246
1371,1371,,247
1370,1370,,247
1373,1373,,248
1372,1372,,248
1375,1375,,249
1374,1374,,249
1376,1376,,249
1377,1377,,250
1378,1378,,250
1381,1381,,92
1384,1384,,34
1385,1385,,34
1387,1387,,251
1386,1386,,251
1389,1389,,57
1391,1391,,252
1390,1390,,252
1392,1392,,252
1394,1394,,128
1395,1395,,128
1396,1396,,128
1397,1397,,128
1398,1398,,53
1400,1400,,253
1399,1399,,253
1401,1401,,253
1402,1402,,253
1403,1403,,253
1404,1404,,57
1405,1405,,57
1406,1406,,57
1407,1407,,57
1408,1408,,57
1409,1409,,86
1410,1410,,86
1411,1411,,205
1412,1412,,198
1413,1413,,18
1414,1414,,18
1415,1415,,18
1416,1416,,54
1417,1417,,54
1418,1418,,173
1419,1419,,242
1421,1421,,254
1420,1420,,254
1422,1422,,254
1423,1423,,254
1424,1424,,1
1425,1425,,1
1427,1427,,255
1426,1426,,255
1428,1428,,255
1429,1429,,256
645,645,,256
1430,1430,,256
1431,1431,,256
1432,1432,,256
1433,1433,,256
1434,1434,,256
1435,1435,,256
1436,1436,,256
1437,1437,,256
1438,1438,,256
1439,1439,,256
1440,1440,,256
1441,1441,,256
1442,1442,,256
1443,1443,,256
1444,1444,,256
1445,1445,,256
1446,1446,,256
1447,1447,,256
1448,1448,,256
1450,1450,,257
1449,1449,,257
1451,1451,,47
1452,1452,,128
1453,1453,,258
1360,1360,,258
1454,1454,,131
1455,1455,,83
1457,1457,,259
1456,1456,,259
1458,1458,,259
1459,1459,,259
1460,1460,,24
1461,1461,,18
1464,1464,,246
1465,1465,,246
1466,1466,,246
1467,1467,,246
1468,1468,,6
1469,1469,,6
1470,1470,,6
1472,1472,,260
1471,1471,,260
1473,1473,,260
1475,1475,,261
1474,1474,,261
1476,1476,,261
1477,1477,,38
1478,1478,,38
1480,1480,,262
1479,1479,,262
1481,1481,,11
1482,1482,,11
1484,1484,,263
1483,1483,,263
1485,1485,,263
1487,1487,,264
1486,1486,,264
1488,1488,,211
1489,1489,,211
1492,1492,,272
1491,1491,,272
1493,1493,,272
1494,1494,,272
1496,1496,,265
1495,1495,,265
1497,1497,,50
1498,1498,,101
1500,1500,,43
1501,1501,,43
1502,1502,,43
1503,1503,,43
1504,1504,,169
1505,1505,,169
1506,1506,,169
1507,1507,,169
1508,1508,,169
1509,1509,,169
1512,1512,,266
1511,1511,,266
1513,1513,,266
1514,1514,,169
1515,1515,,267
1516,1516,,267
1517,1517,,267
1518,1518,,172
1519,1519,,172
1520,1520,,172
1523,1523,,268
1522,1522,,268
1526,1526,,269
1525,1525,,269
1529,1529,,6
1531,1531,,270
1530,1530,,270
1532,1532,,1
1533,1533,,94
1534,1534,,94
1535,1535,,94
1536,1536,,154
1538,1538,,271
1537,1537,,271
1539,1539,,271
1540,1540,,272
1541,1541,,272
1542,1542,,272
1544,1544,,273
1543,1543,,273
1546,1546,,274
1545,1545,,274
1547,1547,,274
1548,1548,,274
1549,1549,,51
1550,1550,,6
1551,1551,,6
1553,1553,,246
1554,1554,,246
1555,1555,,246
1556,1556,,11
1557,1557,,11
1558,1558,,11
1560,1560,,128
1561,1561,,128
1562,1562,,275
1563,1563,,275
1564,1564,,275
1565,1565,,275
1566,1566,,275
1567,1567,,275
1569,1569,,276
1568,1568,,276
1570,1570,,118
1571,1571,,118
1572,1572,,118
1573,1573,,118
1574,1574,,118
1576,1576,,277
1575,1575,,277
1577,1577,,277
1578,1578,,277
1579,1579,,118
1581,1581,,278
1580,1580,,278
1584,1584,,279
1583,1583,,279
1586,1586,,280
1585,1585,,280
1587,1587,,280
1588,1588,,92
